   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8048    0.002    0.000    0.003    0.000 _parser.py:164(__getitem__)
      220    0.002    0.000    0.003    0.000 __init__.py:362(<setcomp>)
8862/4413    0.002    0.000    0.009    0.000 typing.py:2394(<genexpr>)
        2    0.002    0.001    0.004    0.002 zipfile.py:1361(_RealGetContents)
        8    0.002    0.000    0.007    0.001 __init__.py:689(children)
     5252    0.002    0.000    0.003    0.000 mymatrix.py:194(__getitem__)
4989/4956    0.002    0.000    0.002    0.000 typing.py:1669(__hash__)
    13110    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     3252    0.002    0.000    0.002    0.000 inspect.py:3019(<genexpr>)
     2016    0.002    0.000    0.003    0.000 <frozen posixpath>:100(split)
     1214    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     9018    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      880    0.002    0.000    0.051    0.000 __init__.py:930(read_text)
     1024    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     5003    0.002    0.000    0.002    0.000 typing.py:1245(_is_dunder)
     2192    0.002    0.000    0.003    0.000 pathlib.py:536(__str__)
      887    0.002    0.000    0.004    0.000 inspect.py:2972(__init__)
       75    0.002    0.000    0.027    0.000 dataclasses.py:884(_process_class)
      925    0.002    0.000    0.223    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     1850    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      868    0.001    0.000    0.007    0.000 tokenize.py:433(_tokenize)
    21175    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      925    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
  442/154    0.001    0.000    0.022    0.000 _parser.py:449(_parse_sub)
      698    0.001    0.000    0.003    0.000 util.py:333(__init__)
     2983    0.001    0.000    0.002    0.000 typing.py:2412(get_origin)
     1095    0.001    0.000    0.003    0.000 <frozen posixpath>:117(splitext)
      299    0.001    0.000    0.085    0.000 utils.py:760(_derived_from)
      876    0.001    0.000    0.017    0.000 __init__.py:945(_normalized_name)
     1628    0.001    0.000    0.002    0.000 __init__.py:107(read)
      599    0.001    0.000    0.008    0.000 typing.py:1353(__init__)
      306    0.001    0.000    0.002    0.000 unit.py:53(__init__)
 1173/353    0.001    0.000    0.839    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
1037/1032    0.001    0.000    0.171    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     2775    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     5205    0.001    0.000    0.003    0.000 typing.py:159(_type_convert)
     1548    0.001    0.000    0.004    0.000 __init__.py:178(sub)
     1090    0.001    0.000    0.006    0.000 pathlib.py:530(_make_child)
        9    0.001    0.000    0.002    0.000 enum.py:1654(convert_class)
      294    0.001    0.000    0.001    0.000 flexparser.py:340(__next__)
     1095    0.001    0.000    0.051    0.000 _itertools.py:4(unique_everseen)
     1273    0.001    0.000    0.001    0.000 reader.py:99(forward)
      925    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     2363    0.001    0.000    0.008    0.000 __init__.py:101(<genexpr>)
    925/9    0.001    0.000    1.344    0.149 <frozen importlib._bootstrap_external>:934(exec_module)
      506    0.001    0.000    0.002    0.000 enum.py:365(__setitem__)
       93    0.001    0.000    0.001    0.000 baseunit.py:103(define_conversion_factor_to)
      945    0.001    0.000    0.002    0.000 __init__.py:452(_replace)
        5    0.001    0.000    0.001    0.000 pybel.py:85(<listcomp>)
     4118    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      419    0.001    0.000    0.019    0.000 dataclasses.py:413(_create_fn)
     7209    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     7731    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     4342    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1030(__exit__)
     8117    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    12853    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     2782    0.001    0.000    0.002    0.000 enum.py:686(__call__)
      428    0.001    0.000    0.003    0.000 decorators.py:748(__call__)
     5947    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     1024    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      299    0.001    0.000    0.002    0.000 utils.py:704(ignore_warning)
     4342    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1026(__enter__)
     1050    0.001    0.000    0.002    0.000 inspect.py:735(unwrap)
      954    0.001    0.000    0.025    0.000 inspect.py:3024(from_callable)
     5260    0.001    0.000    0.001    0.000 mymatrix.py:78(__init__)
     2256    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      299    0.001    0.000    0.024    0.000 utils.py:684(extra_titles)
  224/111    0.001    0.000    0.009    0.000 pint_eval.py:130(build_eval_tree)
     1095    0.001    0.000    0.005    0.000 _functools.py:89(pass_none)
     1095    0.001    0.000    0.001    0.000 <frozen genericpath>:121(_splitext)
        1    0.001    0.001    0.001    0.001 {built-in method openbabel._openbabel.OBConversion_ReadFile}
7526/6529    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      925    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      616    0.001    0.000    0.002    0.000 typing.py:247(_collect_parameters)
  2460/15    0.001    0.000    1.341    0.089 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1099    0.001    0.000    0.003    0.000 pathlib.py:546(__fspath__)
     1087    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
     1024    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      974    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      437    0.001    0.000    0.002    0.000 __init__.py:768(normalize)
     3700    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1525    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      872    0.001    0.000    0.010    0.000 __init__.py:400(_from_text_for)
      220    0.001    0.000    0.001    0.000 __init__.py:359(<setcomp>)
     2421    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
     1628    0.001    0.000    0.007    0.000 __init__.py:406(<genexpr>)
     1949    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:392(cached)
     1245    0.001    0.000    0.024    0.000 flexparser.py:600(consume)
  188/183    0.001    0.000    0.143    0.001 flexparser.py:751(consume_body)
     1243    0.001    0.000    0.020    0.000 flexparser.py:584(from_statement_and_config)
   507/65    0.001    0.000    0.003    0.000 registry.py:682(_get_dimensionality_recurse)
     1086    0.001    0.000    0.047    0.000 pathlib.py:1053(read_text)
     1093    0.001    0.000    0.003    0.000 __init__.py:877(normalize)
      791    0.001    0.000    0.001    0.000 inspect.py:167(get_annotations)
     1087    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
   576/53    0.001    0.000    0.922    0.017 {built-in method builtins.__import__}
     1529    0.001    0.000    0.001    0.000 pathlib.py:523(_format_parsed_parts)
      945    0.001    0.000    0.001    0.000 _collections.py:28(parse)
     9237    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     3765    0.001    0.000    0.001    0.000 _parser.py:249(match)
      155    0.001    0.000    0.001    0.000 unit.py:527(__init__)
      560    0.001    0.000    0.001    0.000 inspect.py:2077(_signature_is_functionlike)
     1497    0.001    0.000    0.090    0.000 {built-in method builtins.sorted}
     7503    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     6034    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
     1100    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
     7503    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1070    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
     1698    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     1722    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      217    0.001    0.000    0.003    0.000 __init__.py:686(joinpath)
     3344    0.001    0.000    0.001    0.000 inspect.py:292(isclass)
      925    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     3247    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
     1401    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   293/68    0.001    0.000    0.003    0.000 registry.py:829(_get_root_units_recurse)
      251    0.001    0.000    0.008    0.000 typing.py:658(Union)
     2124    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      876    0.001    0.000    0.002    0.000 __init__.py:957(_name_from_stem)
      644    0.001    0.000    0.013    0.000 typing.py:2348(<dictcomp>)
     6087    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
     5485    0.001    0.000    0.001    0.000 {built-in method sys.intern}
        8    0.001    0.000    0.013    0.002 __init__.py:718(__init__)
     1074    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
     1769    0.001    0.000    0.001    0.000 feedparser.py:77(readline)
        1    0.001    0.001    0.020    0.020 registry.py:537(_build_cache)
      428    0.001    0.000    0.001    0.000 utils.py:571(<listcomp>)
       10    0.001    0.000    0.010    0.001 __init__.py:827(__init__)
     1992    0.001    0.000    0.001    0.000 pathlib.py:239(splitroot)
  926/923    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       33    0.001    0.000    0.006    0.000 enum.py:497(__new__)
     1078    0.001    0.000    0.001    0.000 scanner.py:145(need_more_tokens)
     1628    0.001    0.000    0.008    0.000 __init__.py:402(<genexpr>)
      872    0.001    0.000    0.061    0.000 __init__.py:634(entry_points)
       17    0.001    0.000    0.002    0.000 feedparser.py:216(_parsegen)
      154    0.001    0.000    0.006    0.000 _compiler.py:509(_compile_info)
     7593    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     5905    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      548    0.001    0.000    0.001    0.000 zipfile.py:372(__init__)
     2793    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      598    0.001    0.000    0.020    0.000 utils.py:568(get_named_args)
       80    0.001    0.000    0.001    0.000 typing.py:1851(__init_subclass__)
       28    0.001    0.000    0.001    0.000 inspect.py:867(cleandoc)
     2355    0.001    0.000    0.001    0.000 _parser.py:172(append)
      190    0.001    0.000    0.003    0.000 flexparser.py:475(_get_next_strip)
     1088    0.001    0.000    0.040    0.000 pathlib.py:1036(open)
     2642    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
     1545    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     2562    0.001    0.000    0.001    0.000 __init__.py:1000(__getitem__)
      317    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
     2607    0.001    0.000    0.001    0.000 _parser.py:160(__len__)
      925    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      605    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
     4153    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     2781    0.001    0.000    0.001    0.000 enum.py:1093(__new__)
     1083    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      154    0.000    0.000    0.044    0.000 _compiler.py:738(compile)
      898    0.000    0.000    0.073    0.000 flexparser.py:715(opening_classes)
      453    0.000    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
       10    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      583    0.000    0.000    0.015    0.000 {built-in method fromkeys}
       64    0.000    0.000    0.001    0.000 scanner.py:1270(scan_plain)
     2188    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       48    0.000    0.000    0.001    0.000 enum.py:770(__getattr__)
      285    0.000    0.000    0.001    0.000 decorators.py:29(not_implemented_for)
        2    0.000    0.000    0.008    0.004 subprocess.py:1789(_execute_child)
     1071    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:920(find_spec)
      825    0.000    0.000    0.001    0.000 typing.py:2441(get_args)
     3748    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      278    0.000    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
      876    0.000    0.000    0.090    0.000 __init__.py:1037(<genexpr>)
      599    0.000    0.000    0.003    0.000 typing.py:1258(__init__)
       86    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.SWIG_PyStaticMethod_New}
     7393    0.000    0.000    0.000    0.000 basedimension.py:91(__hash__)
      406    0.000    0.000    0.002    0.000 deprecation.py:9(wrap)
      604    0.000    0.000    0.001    0.000 enum.py:826(__setattr__)
      111    0.000    0.000    0.015    0.000 util.py:596(from_string)
      449    0.000    0.000    0.075    0.000 flexparser.py:737(consume_opening)
      594    0.000    0.000    0.001    0.000 util.py:432(__eq__)
        4    0.000    0.000    0.026    0.006 _basic.py:1(<module>)
     1100    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      872    0.000    0.000    0.001    0.000 __init__.py:404(_from_text)
      160    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.016    0.016 openbabel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      114    0.000    0.000    0.002    0.000 scanner.py:752(scan_to_next_token)
     1095    0.000    0.000    0.004    0.000 _functools.py:99(wrapper)
      757    0.000    0.000    0.008    0.000 compat.py:34(tokenizer)
     1769    0.000    0.000    0.001    0.000 feedparser.py:127(__next__)
     1095    0.000    0.000    0.001    0.000 pathlib.py:515(_from_parsed_parts)
       28    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      313    0.000    0.000    0.018    0.000 utils.py:678(skip_doctest)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      221    0.000    0.000    0.006    0.000 __init__.py:829(read_text)
     2837    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
