   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 TiffTags.py:420(_populate)
       68    0.000    0.000    0.000    0.000 composer.py:88(compose_scalar_node)
      438    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
        4    0.000    0.000    0.091    0.023 __init__.py:1020(entry_points)
       73    0.000    0.000    0.000    0.000 enum.py:931(_check_for_existing_members_)
        7    0.000    0.000    0.000    0.000 inspect.py:1336(getfullargspec)
      428    0.000    0.000    0.000    0.000 decorators.py:696(__init__)
     1442    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.004    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.024    0.024 ufunc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 inspect.py:550(_getmembers)
        5    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.OBPlugin_ListAsVector}
        2    0.000    0.000    0.000    0.000 contextlib.py:546(__exit__)
      217    0.000    0.000    0.003    0.000 __init__.py:795(joinpath)
      190    0.000    0.000    0.003    0.000 flexparser.py:491(_get_next)
        1    0.000    0.000    0.014    0.014 unit_math.py:1(<module>)
      120    0.000    0.000    0.001    0.000 registry.py:1082(_parse_units)
        1    0.000    0.000    0.000    0.000 pickling_support.py:58(install)
      154    0.000    0.000    0.000    0.000 _parser.py:956(fix_flags)
      412    0.000    0.000    0.000    0.000 <frozen _collections_abc>:612(<genexpr>)
      186    0.000    0.000    0.000    0.000 util.py:262(<genexpr>)
      218    0.000    0.000    0.000    0.000 __init__.py:105(section_pairs)
      117    0.000    0.000    0.001    0.000 registry.py:335(__getattr__)
       37    0.000    0.000    0.001    0.000 delayed.py:278(delayed)
      285    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       81    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
      281    0.000    0.000    0.001    0.000 unit.py:203(__hash__)
      196    0.000    0.000    0.000    0.000 reader.py:94(prefix)
      175    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       75    0.000    0.000    0.027    0.000 dataclasses.py:1219(wrap)
      120    0.000    0.000    0.000    0.000 compat.py:217(is_upcast_type)
       37    0.000    0.000    0.000    0.000 delayed.py:59(unpack_collections)
      554    0.000    0.000    0.000    0.000 unit.py:152(iter_scaled_units)
      117    0.000    0.000    0.000    0.000 util.py:955(getattr_maybe_raise)
       14    0.000    0.000    0.000    0.000 __init__.py:706(mtime)
      104    0.000    0.000    0.000    0.000 functoolz.py:290(__hash__)
      175    0.000    0.000    0.000    0.000 <frozen _collections_abc>:828(_from_iterable)
       75    0.000    0.000    0.000    0.000 dataclasses.py:548(<dictcomp>)
      617    0.000    0.000    0.000    0.000 <frozen _collections_abc>:812(__init__)
      334    0.000    0.000    0.000    0.000 functools.py:421(_unwrap_partial)
      306    0.000    0.000    0.000    0.000 plain.py:147(<genexpr>)
      299    0.000    0.000    0.000    0.000 utils.py:825(derived_from)
       24    0.000    0.000    0.000    0.000 enum.py:1006(_find_new_)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.019    0.019 Image.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        8    0.000    0.000    0.000    0.000 mymatrix.py:55(zeros)
       65    0.000    0.000    0.001    0.000 typing.py:1618(__getitem__)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       84    0.000    0.000    0.000    0.000 resolver.py:143(resolve)
        3    0.000    0.000    0.001    0.000 constants.py:1(<module>)
      332    0.000    0.000    0.000    0.000 __init__.py:810(<genexpr>)
      188    0.000    0.000    0.000    0.000 flexparser.py:519(__next__)
      194    0.000    0.000    0.000    0.000 registry.py:797(<genexpr>)
      311    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       27    0.000    0.000    0.000    0.000 {built-in method _pickle.dumps}
       10    0.000    0.000    0.000    0.000 zipfile.py:1513(open)
      332    0.000    0.000    0.000    0.000 __init__.py:701(<genexpr>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x10bc6c7c0}
       90    0.000    0.000    0.000    0.000 errors.py:61(is_valid_dimension_name)
      320    0.000    0.000    0.000    0.000 pint_eval.py:71(__init__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
  232/185    0.000    0.000    0.000    0.000 flexparser.py:1167(_iter_blocks)
      436    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x1577a3f60}
       68    0.000    0.000    0.001    0.000 registry.py:81(_add_unit)
        4    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      111    0.000    0.000    0.002    0.000 plain.py:235(from_string_and_config)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
      326    0.000    0.000    0.000    0.000 dataclasses.py:603(<genexpr>)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       68    0.000    0.000    0.000    0.000 scanner.py:295(save_possible_simple_key)
      412    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       49    0.000    0.000    0.000    0.000 enum.py:941(_get_mixins_)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
      219    0.000    0.000    0.005    0.000 _py39compat.py:13(normalized_name)
      290    0.000    0.000    0.000    0.000 error.py:6(__init__)
       38    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
      111    0.000    0.000    0.000    0.000 tokenize.py:329(find_cookie)
       75    0.000    0.000    0.000    0.000 dataclasses.py:592(<listcomp>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        2    0.000    0.000    0.020    0.010 random.py:1(<module>)
       24    0.000    0.000    0.000    0.000 enum.py:482(__prepare__)
      189    0.000    0.000    0.000    0.000 __init__.py:200(__init__)
      154    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
      548    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      259    0.000    0.000    0.000    0.000 delayed.py:613(__setattr__)
        1    0.000    0.000    0.000    0.000 reportviews.py:588(MultiDegreeView)
       53    0.000    0.000    0.003    0.000 parser.py:427(parse_block_mapping_key)
      330    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
      202    0.000    0.000    0.000    0.000 inspect.py:1947(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
      352    0.000    0.000    0.000    0.000 inspect.py:505(isbuiltin)
      291    0.000    0.000    0.000    0.000 __init__.py:124(valid)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       86    0.000    0.000    0.000    0.000 inspect.py:2317(_signature_from_builtin)
        1    0.000    0.000    0.000    0.000 bridges.py:1(<module>)
     15/1    0.000    0.000    0.007    0.007 composer.py:117(compose_mapping_node)
       24    0.000    0.000    0.000    0.000 utilities.py:68(inner_decorator)
      274    0.000    0.000    0.000    0.000 __init__.py:16(_parents)
      170    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      274    0.000    0.000    0.000    0.000 zipfile.py:2173(_parents)
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:370(_get_module_info)
       18    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       51    0.000    0.000    0.000    0.000 util.py:703(__mul__)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        4    0.000    0.000    0.000    0.000 contextlib.py:287(helper)
     1027    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      667    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      366    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      104    0.000    0.000    0.000    0.000 dataclasses.py:368(field)
      120    0.000    0.000    0.000    0.000 compat.py:54(_to_magnitude)
      120    0.000    0.000    0.001    0.000 registry.py:56(_parse_units)
      189    0.000    0.000    0.000    0.000 __init__.py:231(_for)
      104    0.000    0.000    0.000    0.000 dataclasses.py:287(__init__)
        9    0.000    0.000    0.001    0.000 util.py:242(solve_dependencies)
      271    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      100    0.000    0.000    0.000    0.000 __init__.py:478(<genexpr>)
      388    0.000    0.000    0.000    0.000 enum.py:796(<genexpr>)
      150    0.000    0.000    0.000    0.000 dataclasses.py:509(_init_param)
        3    0.000    0.000    0.221    0.074 backends.py:1(<module>)
      499    0.000    0.000    0.000    0.000 typing.py:736(<genexpr>)
        8    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        1    0.000    0.000    0.000    0.000 serialization.py:20(Serializable)
        7    0.000    0.000    0.000    0.000 {built-in method posix.close}
      350    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      238    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       24    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      150    0.000    0.000    0.000    0.000 dataclasses.py:437(_field_assign)
        1    0.000    0.000    0.007    0.007 flexparser.py:1(<module>)
      406    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
      114    0.000    0.000    0.000    0.000 types.py:164(__init__)
        2    0.000    0.000    0.032    0.016 linalg.py:1(<module>)
        1    0.000    0.000    0.032    0.032 __init__.py:921(entry_points)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 quantity.py:294(reduce_unit)
      167    0.000    0.000    0.000    0.000 errors.py:50(_no_space)
        1    0.000    0.000    0.008    0.008 numerictypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:453(polyfit)
       27    0.000    0.000    0.001    0.000 util.py:1030(build_dependent_class)
       12    0.000    0.000    0.071    0.006 toolkit_registry.py:143(register_toolkit)
        1    0.000    0.000    0.000    0.000 appdirs.py:1(<module>)
        5    0.000    0.000    0.015    0.003 definitions.py:1(<module>)
       19    0.000    0.000    0.000    0.000 pint_eval.py:33(_power)
   347/74    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 __init__.py:301(<genexpr>)
      239    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.078    0.078 toolkits.py:1(<module>)
       83    0.000    0.000    0.004    0.000 dataclasses.py:624(_cmp_fn)
      241    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.001    0.001 numpy_compat.py:1(<module>)
        8    0.000    0.000    0.004    0.001 zipfile.py:1245(__init__)
      178    0.000    0.000    0.000    0.000 typing.py:277(_check_generic)
       62    0.000    0.000    0.002    0.000 dataclasses.py:845(_hash_add)
        1    0.000    0.000    0.000    0.000 __init__.py:4638(<listcomp>)
       96    0.000    0.000    0.000    0.000 inspect.py:3040(replace)
      240    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        2    0.000    0.000    0.028    0.014 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrap.py:1(<module>)
       10    0.000    0.000    0.001    0.000 zipfile.py:1012(_read1)
        1    0.000    0.000    0.000    0.000 process.py:364(_ParentProcess)
       32    0.000    0.000    0.000    0.000 __init__.py:815(mtime)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      113    0.000    0.000    0.000    0.000 context.py:98(from_string_and_config)
      288    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
       75    0.000    0.000    0.000    0.000 dataclasses.py:1017(<listcomp>)
       69    0.000    0.000    0.001    0.000 registry.py:505(_add_unit)
      129    0.000    0.000    0.000    0.000 utils.py:811(<listcomp>)
        1    0.000    0.000    0.024    0.024 environment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1297(Array)
       32    0.000    0.000    0.000    0.000 __init__.py:848(search)
       30    0.000    0.000    0.000    0.000 zipfile.py:768(read)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       68    0.000    0.000    0.001    0.000 registry.py:68(_add_unit)
        1    0.000    0.000    0.002    0.002 topology.py:1(<module>)
       49    0.000    0.000    0.000    0.000 numpy_func.py:790(implement_consistent_units_by_argument)
        1    0.000    0.000    0.000    0.000 eigenvector.py:1(<module>)
        1    0.000    0.000    0.012    0.012 reductions.py:1(<module>)
        2    0.000    0.000    0.001    0.000 process.py:1(<module>)
      515    0.000    0.000    0.000    0.000 definitions.py:180(is_base)
      115    0.000    0.000    0.041    0.000 __init__.py:225(compile)
       34    0.000    0.000    0.023    0.001 _functools.py:75(wrapper)
      188    0.000    0.000    0.000    0.000 flexparser.py:84(get_position)
       18    0.000    0.000    0.001    0.000 textwrap.py:419(dedent)
       62    0.000    0.000    0.002    0.000 dataclasses.py:638(_hash_fn)
        1    0.000    0.000    0.000    0.000 zipfile.py:1219(ZipFile)
       75    0.000    0.000    0.000    0.000 dataclasses.py:573(<listcomp>)
        1    0.000    0.000    0.000    0.000 _add_docstring.py:27(_parse_docstrings)
        7    0.000    0.000    0.000    0.000 decorator.py:75(__init__)
      350    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__len__)
        1    0.000    0.000    0.000    0.000 flexparser.py:627(Block)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       64    0.000    0.000    0.002    0.000 scanner.py:668(fetch_plain)
        2    0.000    0.000    0.004    0.002 ElementTree.py:1(<module>)
      265    0.000    0.000    0.000    0.000 errors.py:39(is_dim)
        8    0.000    0.000    0.000    0.000 inspect.py:3076(_bind)
        1    0.000    0.000    0.000    0.000 openmm.py:3065(CustomAngleForce)
    87/74    0.000    0.000    0.000    0.000 utils.py:637(__call__)
      225    0.000    0.000    0.000    0.000 dataclasses.py:396(<genexpr>)
       26    0.000    0.000    0.000    0.000 _basic.py:30(<listcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
      312    0.000    0.000    0.000    0.000 typing.py:1699(__eq__)
        1    0.000    0.000    0.040    0.040 ma.py:1(<module>)
      362    0.000    0.000    0.000    0.000 inspect.py:729(getmro)
      306    0.000    0.000    0.000    0.000 backends.py:907(_make_doc)
      194    0.000    0.000    0.000    0.000 dataclasses.py:646(_is_classvar)
        2    0.000    0.000    0.000    0.000 pybel.py:69(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.write}
       12    0.000    0.000    0.000    0.000 zipfile.py:2403(open)
        1    0.000    0.000    0.000    0.000 operator.py:15(<dictcomp>)
      996    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.147    0.147 registry.py:514(load_definitions)
        3    0.000    0.000    0.000    0.000 {function Random.seed at 0x10a09a980}
       10    0.000    0.000    0.000    0.000 _parser.py:999(parse_template)
       69    0.000    0.000    0.000    0.000 objects.py:104(add_units)
      957    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       14    0.000    0.000    0.001    0.000 fft.py:116(fft_wrap)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:567(discover)
      307    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
    38/37    0.000    0.000    0.000    0.000 base.py:1085(_normalize_function)
        1    0.000    0.000    0.019    0.019 multiarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
       38    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        6    0.000    0.000    0.003    0.001 parser.py:59(parsestr)
        7    0.000    0.000    0.000    0.000 decorator.py:144(make)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        2    0.000    0.000    0.001    0.000 shutil.py:1452(which)
       31    0.000    0.000    0.000    0.000 unit.py:235(__pow__)
        1    0.000    0.000    1.202    1.202 eem_model.py:1(<module>)
      878    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      429    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 util.py:1051(create_class_with_registry)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
        1    0.000    0.000    0.007    0.007 _type_aliases.py:1(<module>)
       75    0.000    0.000    0.000    0.000 dataclasses.py:1043(<listcomp>)
       28    0.000    0.000    0.000    0.000 util.py:724(__truediv__)
       74    0.000    0.000    0.000    0.000 base.py:192(is_dask_collection)
       28    0.000    0.000    0.002    0.000 _backend.py:173(generate_multimethod)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
      112    0.000    0.000    0.000    0.000 system.py:47(from_string)
       10    0.000    0.000    0.000    0.000 zipfile.py:820(__init__)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        2    0.000    0.000    0.004    0.002 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 plural.py:527(_unary_compiler)
       28    0.000    0.000    0.001    0.000 registry.py:624(get_symbol)
        2    0.000    0.000    0.000    0.000 toolkit_registry.py:378(toolkit_registry_manager)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1883(IPv6Address)
       96    0.000    0.000    0.000    0.000 plain.py:207(from_string)
        1    0.000    0.000    0.001    0.001 topology.py:368(Topology)
       89    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
       38    0.000    0.000    0.002    0.000 parser.py:446(parse_block_mapping_value)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        1    0.000    0.000    0.000    0.000 openmm.py:1228(mapii)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       62    0.000    0.000    0.000    0.000 dataclasses.py:846(<listcomp>)
      360    0.000    0.000    0.000    0.000 registry.py:405(non_int_type)
       29    0.000    0.000    0.000    0.000 typing.py:2573(overload)
       97    0.000    0.000    0.000    0.000 decorators.py:307(py_random_state)
        1    0.000    0.000    0.001    0.001 environment.py:142(Environment)
      120    0.000    0.000    0.000    0.000 compat.py:202(check_upcast_type)
        4    0.000    0.000    0.000    0.000 subprocess.py:2014(_wait)
       59    0.000    0.000    0.000    0.000 baseunit.py:87(get_dimension_tuple)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:1(<module>)
      110    0.000    0.000    0.000    0.000 inspect.py:2465(<lambda>)
       24    0.000    0.000    0.001    0.000 utils.py:1298(_bind_operator)
      378    0.000    0.000    0.000    0.000 __init__.py:255(<genexpr>)
      113    0.000    0.000    0.000    0.000 defaults.py:31(from_string)
      205    0.000    0.000    0.000    0.000 __init__.py:1057(__setitem__)
       22    0.000    0.000    0.000    0.000 typing.py:1632(__getitem_inner__)
      102    0.000    0.000    0.000    0.000 baseunit.py:50(__init__)
        7    0.000    0.000    0.002    0.000 objects.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       10    0.000    0.000    0.000    0.000 inspect.py:3232(__str__)
       12    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1953(basicConfig)
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:492(inv)
       17    0.000    0.000    0.002    0.000 feedparser.py:176(_call_parse)
        1    0.000    0.000    0.004    0.004 _psosx.py:1(<module>)
        7    0.000    0.000    0.001    0.000 exceptions.py:1(<module>)
       75    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
  221/210    0.000    0.000    0.000    0.000 flexparser.py:677(__iter__)
        2    0.000    0.000    0.592    0.296 units.py:1(<module>)
        2    0.000    0.000    0.007    0.004 nodes.py:1(<module>)
        8    0.000    0.000    0.000    0.000 flexparser.py:699(<genexpr>)
      536    0.000    0.000    0.000    0.000 enum.py:1149(__init__)
        1    0.000    0.000    0.009    0.009 random.py:29(Generator)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
        1    0.000    0.000    0.009    0.009 random.py:490(RandomState)
       56    0.000    0.000    0.000    0.000 typing.py:945(__init__)
        2    0.000    0.000    0.000    0.000 blockwise.py:1(<module>)
       56    0.000    0.000    0.000    0.000 typing.py:1955(_caller)
        1    0.000    0.000    0.000    0.000 compiler.py:300(CodeGenerator)
       20    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       58    0.000    0.000    0.000    0.000 typing.py:1033(__typing_subst__)
      190    0.000    0.000    0.000    0.000 typing.py:1694(_value_and_type_iter)
        1    0.000    0.000    0.029    0.029 delayed.py:1(<module>)
        2    0.000    0.000    0.000    0.000 subprocess.py:1954(_handle_exitstatus)
        3    0.000    0.000    0.013    0.004 context.py:1(<module>)
      425    0.000    0.000    0.000    0.000 enum.py:239(__init__)
      126    0.000    0.000    0.000    0.000 unit.py:553(iter_base_dimensions)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
       64    0.000    0.000    0.000    0.000 typing.py:289(_unpack_args)
        2    0.000    0.000    0.000    0.000 pybel.py:64(_formatstodict)
        2    0.000    0.000    0.001    0.001 openeye_wrapper.py:104(__init__)
      111    0.000    0.000    0.000    0.000 group.py:41(from_string)
       15    0.000    0.000    0.000    0.000 definitions.py:229(__post_init__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
       84    0.000    0.000    0.000    0.000 resolver.py:91(descend_resolver)
        5    0.000    0.000    0.000    0.000 version.py:184(__init__)
    48/30    0.000    0.000    0.059    0.002 __init__.py:108(import_module)
      115    0.000    0.000    0.000    0.000 scanner.py:325(unwind_indent)
      169    0.000    0.000    0.000    0.000 dataclasses.py:654(_is_initvar)
    57/30    0.000    0.000    0.059    0.002 <frozen importlib._bootstrap>:1192(_gcd_import)
       23    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 blas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       78    0.000    0.000    0.000    0.000 util.py:1040(<genexpr>)
       11    0.000    0.000    0.000    0.000 async_utils.py:13(decorator)
       29    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
       37    0.000    0.000    0.000    0.000 delayed.py:694(__init__)
       37    0.000    0.000    0.001    0.000 delayed.py:654(_get_binary_operator)
      303    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       75    0.000    0.000    0.000    0.000 dataclasses.py:1046(<listcomp>)
      105    0.000    0.000    0.000    0.000 typing.py:921(_is_unpacked_typevartuple)
        4    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 function_base.py:24(linspace)
      398    0.000    0.000    0.000    0.000 enum.py:1256(value)
        2    0.000    0.000    0.000    0.000 subprocess.py:481(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       78    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 openmm.py:10079(BrownianIntegrator)
       37    0.000    0.000    0.000    0.000 delayed.py:537(__init__)
        1    0.000    0.000    0.000    0.000 openmm.py:16649(CustomTorsionForce)
       14    0.000    0.000    0.000    0.000 __init__.py:739(search)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
      198    0.000    0.000    0.000    0.000 numpy_func.py:234(decorator)
      185    0.000    0.000    0.000    0.000 flexparser.py:1184(iter_blocks)
       13    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openmm.py:18865(<listcomp>)
       17    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       75    0.000    0.000    0.000    0.000 dataclasses.py:1052(<listcomp>)
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:162(find_spec)
        2    0.000    0.000    0.000    0.000 flexparser.py:151(from_bytes)
       15    0.000    0.000    0.002    0.000 base_defparser.py:44(to_dimension_container)
      114    0.000    0.000    0.000    0.000 common.py:53(from_string)
       11    0.000    0.000    0.000    0.000 feedparser.py:100(push)
        3    0.000    0.000    0.001    0.000 quantity.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rdkit_wrapper.py:69(RDKitToolkitWrapper)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
       16    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      129    0.000    0.000    0.000    0.000 typing.py:1656(<genexpr>)
       32    0.000    0.000    0.010    0.000 __init__.py:812(search)
        1    0.000    0.000    0.000    0.000 dag.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:421(_joinrealpath)
        1    0.000    0.000    0.027    0.027 creation.py:1(<module>)
       10    0.000    0.000    0.005    0.001 __init__.py:798(children)
        9    0.000    0.000    0.000    0.000 <frozen posixpath>:150(dirname)
        1    0.000    0.000    0.000    0.000 classic.py:1(<module>)
        5    0.000    0.000    0.001    0.000 basic.py:1(<module>)
       36    0.000    0.000    0.010    0.000 __init__.py:914(<genexpr>)
       29    0.000    0.000    0.000    0.000 definitions.py:95(__post_init__)
       26    0.000    0.000    0.000    0.000 _decomp_lu.py:14(<listcomp>)
     17/3    0.000    0.000    0.000    0.000 config.py:82(update)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      225    0.000    0.000    0.000    0.000 dataclasses.py:1106(<genexpr>)
        1    0.000    0.000    0.361    0.361 compat.py:1(<module>)
      264    0.000    0.000    0.000    0.000 _add_newdocs.py:17(add_newdoc)
        1    0.000    0.000    0.004    0.004 lexer.py:1(<module>)
      112    0.000    0.000    0.000    0.000 message.py:506(set_raw)
        1    0.000    0.000    0.000    0.000 small.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       46    0.000    0.000    0.002    0.000 typing.py:485(__getitem__)
       20    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
        1    0.000    0.000    0.002    0.002 compiler.py:1(<module>)
        5    0.000    0.000    0.001    0.000 pybel.py:77(_getpluginnames)
      220    0.000    0.000    0.000    0.000 __init__.py:822(__init__)
      111    0.000    0.000    0.000    0.000 tokenize.py:323(read_or_stop)
        1    0.000    0.000    0.000    0.000 random_graphs.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:540(_init)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        3    0.000    0.000    0.003    0.001 abc.py:1(<module>)
       23    0.000    0.000    0.000    0.000 util.py:633(<dictcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:1415(_clear_cache)
        2    0.000    0.000    0.004    0.002 _matfuncs.py:1(<module>)
        2    0.000    0.000    0.000    0.000 contextlib.py:460(__init__)
      120    0.000    0.000    0.000    0.000 compat.py:192(fully_qualified_name)
        1    0.000    0.000    0.000    0.000 cp437.py:1(<module>)
      140    0.000    0.000    0.000    0.000 typing.py:1406(<genexpr>)
      102    0.000    0.000    0.000    0.000 scanner.py:125(peek_token)
       14    0.000    0.000    0.013    0.001 __init__.py:703(search)
      112    0.000    0.000    0.000    0.000 typing.py:904(__hash__)
       82    0.000    0.000    0.000    0.000 <frozen _collections_abc>:790(items)
